url,date,country,reason_for_exclusion
https://japan.kantei.go.jp/101_kishida/statement/202405/02searp.html,"May 2, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202405/03paraguayforum.html,"May 3, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202405/08message.html,"May 8, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202405/15message.html,"May 15, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202405/20message.html,"May 20, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202405/20statement.html,"May 20, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202405/23message.html,"May 23, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202405/27message.html,"May 27, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202405/27message2.html,"May 27, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0105.html,"May 3, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0144.html,"May 3, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0145.html,"May 27, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202406/03message.html,"June 3, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202406/04statement.html,"June 4, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202406/12kaiken.html,"June 12, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202406/12message2.html,"June 12, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202406/27message.html,"June 27, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202407/06message.html,"July 6, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202407/10kaiken.html,"July 10, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202407/18message.html,"July 18, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202407/20message.html,"July 20, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202407/26sisatsu.html,"July 26, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202407/5message.html,"July 5, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/tag/0045.html,"July 12, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202408/05message.html,"August 5, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202408/08kaiken.html,"August 8, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202408/13message.html,"August 13, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202408/19message.html,"August 19, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202408/22message.html,"August 22, 2024",japan,NOT_HISTORY_RELATED
https://japan.kantei.go.jp/101_kishida/statement/202409/11message.html,"September 11, 2024",japan,NOT_HISTORY_RELATED
