url,country,institution,discovered_via,discovered_date,archive_source,status
https://japan.kantei.go.jp/101_kishida/statement/202201/_00008.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00009.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00010.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00011.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00012.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00013.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00014.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202201/_00015.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/0001.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/0002.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/0003.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/0005.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/0095.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202201/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00002.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00003.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00004.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00005.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00006.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00007.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00008.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00009.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00010.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00011.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00012.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00013.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00014.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/101_kishida/statement/202202/_00016.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/0027.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
https://japan.kantei.go.jp/tag/0048.html,japan,Prime Minister's Office of Japan (Kantei),ARCHIVE_CRAWL_SEEDED_INDEX,2026-09-22,https://japan.kantei.go.jp/101_kishida/statement/202202/index.html,DISCOVERED
